Course Name,link,Description,Course Outline
Creating and Delivering Business Presentations,https://erevuka.org/course/details/Creating-and-Delivering-Business-Presentations,"There’s nothing worse than blank faces or people checking their phones when giving a business presentation. You want to engage your audience and unite, persuade, or drive them to action—but how?","Defining Your Presentation Objective, How to Structure Your Presentation, Working With Visual Aids, Visual Aid Design, Presenting Data, Presenting Data, Practicing Your Presentation, Improving Your Presentation, Coping With Presentation Nerves, Dealing With Questions, Summary"
Customer Service Course,https://erevuka.org/course/details/Customer-Service-Course,"Each and every one of us serves customers, whether we realize it or not. Maybe you’re on the frontlines of a company, serving the people who buy your products.","State what customer service means in relation to all your customers, both internal and external, Recognize how your attitude affects customer service, Identify your customers’ needs, Use outstanding customer service to generate return business, Build good will through in-person customer service, Provide outstanding customer service over the phone, Connect with customers through online tools, Deal with difficult customers"
Effective Communication Skills - Module 1,https://erevuka.org/course/details/Effective-Communication-Skills---Module-1,"Welcome to the Introduction to Effective Communication Skills in the Workplace course. This course is suited for anyone who would like to be a better communicator in the workplace. It focuses on how to communicate more effectively in the workplace, how to get along with and forge better work relationships with other people. It offers opportunities to discover who we are as communicators, how what we say, and how we say it, can change our lives, and the lives of those with whom we interact.","Introduction to Communication, What is Communication?, Why Do We Communicate?, Why Do Communications Skills Matter?, Why is it so Difficult?, A Wish for Change, An Excercise to Try - Fire Gazing, Your Very Own Map of the World, The Power of the Map of the World, Conclusion"
Effective Communication Skills - Module 2,https://erevuka.org/course/details/Effective-Communication-Skills---Module-2,"Welcome to the course Introduction to Effective Communication Skills in the Workplace. This course is suited for anyone who would like to be better at using their communication skills in the workplace. The focus of this course is on how to communicate more effectively in the workplace and how to get along better with oneself and other people. It offers opportunities to discover who we are as communicators and how what we say, and how we say it, can change our lives, and the lives with whom we interact.","Communication: A Two-Way Process, The Communication Process, How to Use the Communication Process, Encoding - Creating a Clear Message, Channel - Choosing the Right Channel, Decoding - Interpreting the Message, Feedback - Receiving Feedback, Noise - A Barrier of Communication, The 7 Cs of Effective Communication, Conclusion"
Anti Money Laundering Module 1,https://erevuka.org/course/details/Anti-Money-Laundering-Module-1,Welcome to the Anti Money Laundering Module 1.,"What is Money Laundering, International Initiatives, Customer Identification Program, What the law says in Kenya, Wolfsberg Principles on Correspondent Banking, Terrorist related Money Laundering"
Anti Money Laundering Module 2,https://erevuka.org/course/details/Anti-Money-Laundering-Module-2,Welcome to the Anti Money Laundering Module 2.,"Know the meaning of appreciative inquiry, Think in positive terms and avoid thinking negatively, Encourage others to think positively, Recognize positive attributes in people, Create positive imagery, Manage and guide employees in a positive environment"
Workplace Diversity,https://erevuka.org/course/details/Workplace-Diversity,"With the world becoming more mobile and diverse, diversity has taken on a new importance in the workplace. This training will help participants understand what diversity is all about, and how they can help create a more diverse world at work and at home.","Explain the definition, terms and history of diversity, Describe the meaning of stereotypes and biases, how they develop, and the reasons for your own perspectives, List strategies for removing barriers to encouraging diversity for yourself, in the workplace, and in the social community., Use active listening skills to receive messages in a diverse population, employ effective questioning techniques, and communicate with strength, Understand the importance of body language, both your own, and that of others, and recognize its importance in interpersonal communications., Identify ways to encourage diversity in the workplace, and prevent and discourage discrimination."
Work-Life Balance,https://erevuka.org/course/details/Work-Life-Balance,"Having a balance between work and home life can be a challenge. With this challenge come great rewards when it is done successfully. By balancing a career with home life it will provide benefits in each environment. You will become healthier, mentally and physically, and you will be able to produce more career wise.","Explain the benefits of work life balance., Recognize the signs of an unbalanced life., Identify employer resources for a balanced lifestyle., Improve time management and goal setting., Use the most effective work methods for you., Create balance at work and at home., Manage stress."
Talent Management,https://erevuka.org/course/details/Talent-Management,"Talent management is essential to the success of any organization. Leaders need to recruit, train, and retain qualified employees.","Define talent and talent management., Understand the benefits of talent management., Recognize performance management and ways to review talent., Identify employee engagement., Create assessments and training programs., Learn how to improve employee retention."
Telephone Etiquette,https://erevuka.org/course/details/Telephone-Etiquette,"The meaning of Telephone Etiquette can sometimes be difficult to describe. It can be a unique attribute or characteristic that facilitates great communication, inside and outside the office. It can be the special way that you show confidence in any challenging situation. These and other events can become more easily managed with this great workshop.","Recognize the different aspects of telephone language, Properly handle inbound/outbound calls, Know how to handle angry or rude callers, Learn to receive and send phone messages, Know different methods of employee training"
Stress Management,https://erevuka.org/course/details/Stress-Management,Positive and negative stress is a constant influence on all of our lives. The trick is to maximize the positive stress and to minimize the negative stress,"Identify the best approach to a stressful situation (Alter, Avoid, or Accept), Understand what lifestyle elements you can change to reduce stress, Use routines to reduce stress"
Sales Fundamentals course,https://erevuka.org/course/details/Sales-Fundamentals-course,"Although the definition of a sale is simple enough, the process of turning someone into a buyer can be very complex. It requires you to convince someone with a potential interest that there is something for them in making their interest concrete – something that merits spending some of their hard-earned money.","Understand the language of sales, Prepare for a sales opportunity, Begin the discussion on the right foot, Make an effective pitch, Handle objections, Seal the deal, Follow up on sales, Set sales goals, Manage sales data, Use a prospect board"
Risk Assessment and Management,https://erevuka.org/course/details/Risk-Assessment-and-Management,"It is not possible to control or manage 100% of risk, but knowing what do before, during, and after an event will mitigate the damage and harm. Identifying potential hazards and risks and making it part of the day to day business is important. Safety should be the first priority as every business must face the reality of risks and hazards.","Identify hazards and risks, Update control measures, Grasp the fundamentals of accident reports, Identify risk management techniques, Outline a disaster recovery plan, Communicate to the organization"
Presentation Skills,https://erevuka.org/course/details/Presentation-Skills,"Many studies have found that public speaking is the number one fear amongst most people, outranking flying, snakes, insects, and even death. Ironically, it is also one of the skills that can make or break a person's career. Your participants will be provided a strong set of skills that will complement their current presentation skill set.","Perform a needs analysis and prepare an outline, Select presentation delivery methods, Practice verbal and non-verbal communication skills, Knock down nervousness, Develop and use flip charts with color, Create targeted PowerPoint presentations, Utilize white boarding for reinforcement, Describe how video and audio enhance a presentation and list criteria for determining what types to use, Enrich the learning experience with humor, questions, and discussion."
Performance Management,https://erevuka.org/course/details/Performance-Management,"Performance Management is making sure the employee and the organization are focused on the same priorities. It touches on the organization itself by improving production and reducing waste. It helps the employee or individual set and meet their goals and improves the employee manager relationship. The key in keeping an organization and employee aligned, which improves performance and productivity, is Performance Management.","Define performance management., Understand how performance management works and the tools to make it work., Learn the three phases of project management and how to assess it., Discuss effective goal-setting., Learn how to give feedback on performance management., Identify Kolb’s Learning Cycle., Recognize the importance of motivation., Develop a performance journal and performance plan."
Phishing and Mail Security,https://erevuka.org/course/details/Phishing-and-Mail-Security,"In this course, you’ll learn what phishing is and how to spot the red flags of fraudulent emails, phone calls, and other forms of communication. You’ll also explore best cybersecurity practices to protect your systems and accounts from online scammers.","What Is Phishing?, Safeguarding Against Business Email Compromise, Preventing Phone Scams and Phishing Attacks, Protecting Against Malware, Summary"
Online Security Fundamentals,https://erevuka.org/course/details/Online-Security-Fundamentals,"We store highly sensitive data online. Exposure of that data has a far-reaching impact, with consequences more devastating than losing valuables to a thief.","What Is Cybersecurity?, Best Practices for Secure Internet Browsing, Tips for Public Wi-Fi Security, Safe Use of Social Media, Dealing With a Security Incident, Summary"
Negotiation Skills,https://erevuka.org/course/details/Negotiation-Skills,"Although people often think of boardrooms, suits, and million dollar deals when they hear the word negotiation, the truth is that we negotiate all the time. Through this training, participants will be able to understand the basic types of negotiations, the phases of negotiations, and the skills needed for successful negotiating.","Understand the basic types of negotiations, the phases of negotiations, and the skills needed for successful negotiating, Understand and apply basic negotiating concepts: WATNA, BATNA, WAP, and ZOPA, Lay the groundwork for negotiation, Identify what information to share and what to keep to yourself, Understand basic bargaining techniques, Apply strategies for identifying mutual gain, Understand how to reach consensus and set the terms of agreement, Deal with personal attacks and other difficult issues, Use the negotiating process to solve everyday problems, Negotiate on behalf of someone else"
Marketing Basics,https://erevuka.org/course/details/Marketing-Basics,"Thanks to the rise of technology and social media, the world of marketing and advertising has become bigger than ever.","Define your market., Know the different types of marketing and ways to use them., Learn effective ways of communicating with the customer., Know how to set marketing goals and strategies., Recognize common marketing mistakes and know how to avoid them."
Leadership & Influence,https://erevuka.org/course/details/Leadership-&-Influence,"They say that leaders are born, not made. While it is true that some people are born leaders, some leaders are born in the midst of adversity. Often, simple people who have never had a leadership role will stand up and take the lead when a situation they care about requires it. A simple example is parenting. When a child arrives, many parents discover leadership abilities they never knew existed in order to guide and protect their offspring.","Define “leadership”, Explain the Great Man Theory, Explain the Trait Theory, Understand Transformational Leadership, Understand the people you lead and how to adapt your leadership styles, Explain leading by Directing, Explain leading by Participating, Explain leading by Delegating, Kouzes and Posner, Conduct a personal inventory, Create an action plan, Establish personal goals"
How to Protect Your Data,https://erevuka.org/course/details/How-to-Protect-Your-Data,"Modern-day theft scarcely resembles heists and burglaries of the past—it has evolved into the digital sphere, requiring us to learn new security practices alongside the old ones.","What Is Confidential Data?, How to Protect Confidential Information, Creating and Managing Strong Passwords, A Guide to Multifactor Authentication, Portable Devices and Removable Media Security, Using Physical Security to Keep Facilities and Assets Safe, Wrap up"
Handling Difficult Customers,https://erevuka.org/course/details/Handling-Difficult-Customers,"Wouldn’t the world be a great place if every customer was a pleasure to deal with? We all know that this is an almost impossible dream, so what is the best way to handle a difficult customer? During our two-part training programme, you will learn stress management skills, how to build rapport, and how to recognise and use good body language.","Getting the right attitude, Internal stress management, External stress management, Transactional analysis, Understanding the customer’s perspective, Over the phone communication, Face to face communication, The art of sensitivity and emotional intelligence, Following up"
Goal Setting and Getting Things Done,https://erevuka.org/course/details/Goal-Setting-and-Getting-Things-Done,"Goal Setting is one of the most basic and essential skills someone can develop. What makes a good goal? We touch on goal characteristics, time management, making a to do list, and what to do when setbacks occur. This workshop will provide the knowledge and skills for your participants to complete more tasks and get things done.","Overcome procrastination, Manage time effectively, Accomplish important tasks, Self-motivate, Create SMART goals"
Employee Recognition,https://erevuka.org/course/details/Employee-Recognition,"To a business, an employee recognition program is not a luxury, it is a necessity. With a well-built employee recognition program, companies can improve job retention, employee engagement, team work, reinforcing company values, and more","Assess the type of Employee Recognition Program(s) your company needs, Train leadership to recognize their employees, Know when and where recognition is needed, Construct a culture of recognition, Maintain an effective Employee Recognition Program"
Employee Motivation,https://erevuka.org/course/details/Employee-Motivation,"When you think of staff motivation, many things may come to mind: more money, a bigger office, a promotion, or a better quality of life. The truth is, no matter what we offer people, true motivation must come from within. Regardless of how it is characterized, it is important to get the right balance in order to ensure that you have a motivated workforce.","Defining motivation, an employer’s role in it and how the employee can play a part, Identifying the importance of Employee Motivation, Identifying methods of Employee Motivation, Describing the theories which pertain to Employee Motivation – with particular reference to psychology, Identifying personality types and how they fit into a plan for Employee Motivation., Setting clear and defined goals., Identifying specific issues in the field, and addressing these issues and how to maintain this going forward."
Emotional Intelligence,https://erevuka.org/course/details/Emotional-Intelligence,"Welcome to the Emotional Intelligence course. Emotional Intelligence is defined as a set of competencies demonstrating the ability one has to recognize his or her behaviors, moods, and impulses, and to manage them best according to the situation.","Define and practice self-management, self-awareness, self-regulation, self-motivation, and empathy., Understand, use and manage your emotions., Verbally communicate with others., Successfully communicate with others in a non-verbal manner., Identify the benefits of emotional intelligence., Relate emotional intelligence to the workplace., Balance optimism and pessimism., Effectively impact others."
A Guide to Content Marketing: Developing Your Strategy and Crafting Compelling Content,https://erevuka.org/course/details/A-Guide-to-Content-Marketing:-Developing-Your-Strategy-and-Crafting-Compelling-Content,"Companies that thrive today understand one key principle: The old way of doing things doesn’t work as well as it used to. Traditional marketing can still be effective, but it has limitations. Success depends on the strength of the bond between your brand and your audience—going beyond simply trying to sell people stuff.","What Is Content Marketing?, Choosing a content strategy, Introduction, content creation tips, Conclusion"
Developing Corporate Behaviour,https://erevuka.org/course/details/Developing-Corporate-Behaviour,Corporate behavior is an important aspect of any business. The right behavior can cause your company to sky rocket with effective productivity and reputation.,"Understand what behavior is, Understand the benefits of corporate behavior, Know what type of behaviors you want to implement in your company, Know how to implement corporate behaviors, Know how to maintain corporate behaviors"
Cyber Security,https://erevuka.org/course/details/Cyber-Security,Every organization is responsible for ensuring cybersecurity. The ability to protect its information systems from impairment or even theft is essential to success. Implementing effective security measures will not only offer liability protection; it will also increase efficiency and productivity.,"Understand different types of malware and security breaches, Know the types of cyberattacks to look out for, Develop effective prevention methods"
Customer Service and Experience in the Modern Day,https://erevuka.org/course/details/Customer-Service-and-Experience-in-the-Modern-Day,This training program is geared towards providing learners with a toolkit of practical communication skills that will help them manage all the stages of the customer experience.,"To cultivate a customer-oriented mindset., To provide the tools to manage each stage of the customer experience., To help the team turn challenging situations into customer loyalty., To grow employee motivation and commitment to the brand."
Time Management 1,https://erevuka.org/course/details/Time-Management-1,"Time Management is a self paced course that will guide you on how to effectively and efficiently manage your time. In this module, participants will cover half of the basic principles and techniques for effective time management. The course equips you with skills to help you manage your time better so that you can be more productive and effective at work.","Introduction to Time Management, Setting Goals, Theory No. 1 - Urgent Important Matrix, Theory No. 2 - Rocks, Pebbles, Sand, Theory No. 3 - 80 / 20 Rule, Assertiveness and Saying No, Planning Wisely, Chunk, Block and Tackle, Ready, Fire, Aim!, The Myth of Multi-tasking"
Time Management 2,https://erevuka.org/course/details/Time-Management-2,"We hope by now that you have completed the first of our two-module course on Time Management. If not, go back to the list of courses to apply.","Introduction, Overcoming Procrastination, A Little Bit of Theory, Delegating not Dumping, Organising your Work Space"
Conflict Resolution,https://erevuka.org/course/details/Conflict-Resolution,"Wherever two or more people come together, there is bound to be conflict. This course will give participants a seven-step conflict resolution process that they can use and modify to resolve conflict disputes of any size. Your participants will also be provided a set of skills in solution building and finding common ground.","Understand what conflict and conflict resolution mean, Understand all six phases of the conflict resolution process, Understand the five main styles of conflict resolution, Be able to adapt the process for all types of conflicts, Be able to break out parts of the process and use those tools to prevent conflict, Be able to use basic communication tools, such as the agreement frame and open questions, Be able to use basic anger and stress management techniques"
Creative Problem Solving,https://erevuka.org/course/details/Creative-Problem-Solving,"In the past few decades, psychologists and business people alike have discovered that successful problem solvers tend to use the same type of process to identify and implement the solutions to their problems. This process works for any kind of problem, large or small.","Understand problems and the creative problem solving process, Indentify types of information to gather and key questions to ask in problem solving, Identify the importance of defining a problem correctly, Identify and use four different problem definition tools, Write concrete problem statements, Use basic brainstorming tools to generate ideas for solutions, Evaluate potential solutions against criteria, including cost/benefit analysis and group voting, Perform a final analysis to select a solution, Understand the roles that fact and intuition play in selecting a solution, Understand the need to refine the shortlist and redefine it, Understand how to identify the tasks and resources necessary to implement solutions, Evaluate and adapt solutions to reality"
Coaching and Mentoring ,https://erevuka.org/course/details/Coaching-and-Mentoring-,"You are in your office looking over your performance report and it happened again. Your low performing employee failed to meet quota this month even after you spoke with them about the importance of meeting goals. This employee has a great attitude and you know they can do better. You just do not know how to motivate them to reach the goal. Money used to work, but that has worn off. You are baffled and you know being frustrated makes matters worse. What do you do?","Defines coaching, mentoring and the GROW model., Identify and set appropriate goals using the SMART technique of goal setting., Identify the steps necessary in defining the current state or reality of your employee’s situation., Identify the steps in developing a finalized plan or wrapping it up and getting your employee motivated to accomplish those plans., Identify the benefits of building and fostering trust with your employee., Identify the steps in giving effective feedback while maintaining trust., Identify and overcoming common obstacles., Identify when the coaching is at an end and transitioning your employee to other growth opportunities., Identify the difference between mentoring and coaching."
Change Management,https://erevuka.org/course/details/Change-Management,"Change is a constant in many of our lives. All around us, technologies, processes, people, ideas, and methods often change, affecting the way we perform daily tasks and live our lives. Having a smooth transition when change occurs is important in any situation and your participants will gain some valuable skills through this workshop.","List the steps necessary for preparing a change strategy and building support for the change, Describe the WIFM – the individual motivators for change, Use needed components to develop a change management  and communications plans, and to list implementation strategies, Employ strategies for gathering data, addressing concerns and issues, evaluating options and adapting a change direction, Utilize methods for leading change project status meetings, celebrating a successful change implementation, and sharing the results and benefits, Describe the four states of Appreciative Inquiry, its purposes, and sample uses in case studies, Use strategies for aligning people with a change, appealing to emotions and facts, Describe the importance of resiliency and flexibility in the context of change."
Business Succession Planning,https://erevuka.org/course/details/Business-Succession-Planning,Welcome to the Business Succession Planning training. The loss of valuable leadership can cripple a company. Business succession planning is essentially preparing successors to take on vital leadership roles when the need arises.,"Define business succession planning and its role in your company., Lay the groundwork to develop a succession plan., The importance of mentorship., Define and use a SWOT analysis to set goals., Create a plan, assign roles, and execute the plan., Communicate to develop support and manage change., Anticipate obstacles, and evaluate and adapt goals and plans., Characterize success."
Introduction to Principles of Agile Project Management,https://erevuka.org/course/details/Introduction-to-Principles-of-Agile-Project-Management,"Welcome to the Building an Agile Workplace course. This is a comprehensive, interactive beginner’s course that focuses on the most common Agile methodology, Scrum. The course can be used by companies and individuals alike to grow their knowledge, understanding and implement an Agile workplace. Agile helps tackle issues around project delivery processes, decreased rigidity and can be used by individuals and organizations alike. This is not a technical course but is rather easy to follow and providers the learner with the various knowledge checks to ensure their understanding.","Introduction, What is Agile?, The Scrum framework., Roles within the Scrum Framework, Scrum Terms., The 4 Scrum Ceremonies, The Fibonacci Sequence and Task Estimation, Roadmap and Release plan, Case studies"
